der Zeitungsverlag	the newspaper publisher
die	Bewerbungsmappe	the application folder
die	Abteilung	the department
die	Voraussetzung	the condition
der	Bewerber	the applicant
das	Satzglied	the constituent, the clause
die	Aussage	the statement
die	Zulassung	the approval
der	Eheberater	the marriage counselor
der	Erbe	the heritage
der	Zeuge	the witness
der	Neffe	the nephew
der	Bube	the boy
der	Laie	the amateur
der	Dirigent	the conductor
der	Soldat	the soldier
der	Hase	the rabbit
der	Schimpanse	the chimp
der	Affe	the monkey
der	Ochse	the ox
der	Falke	the falcon
der	Loewe	the lion
der	Beamte	the official, the clerk
der	Bauer	the farmer
der	Architekt	the architect
das	Haustier	the pet
das	Recht	the right
die	Ordnung	the order
der	Fachmann	the specialist
das	Verbrechen	the crime
die	Bцrse	the stock market
der	Pendler	the commuter
die	Bescheinigung	the certificate
die	Grundgebьhr	the basic fee
die	№berweisung	the transfer
die	Bankverbindung	the bank account information
die	Geheimzahl	the PIN number
der	TAN-Generator	the TAN generator
der	Staatsbьrger	the citizen
die	Bestдtigung	the confirmation
die	Strecke zurьcklegen	cover the distance
das	Wertpapiere	the securities
die	Behцrde	the authority
der	Wohnsitz	the residence
die	Bankleitzahl	the bank code
die	Kontonummer	the account number
das	Girokontokonten	the check account
das	Gebiet	the area
die	umliegenden Stдdte und Gemeinden	the surrounding towns and communities
die	Firma	the company
der	Seitensprung	the fling, the affair
die	Ausbildung	the training
die	Rechnung	the bill, the invoice
die	Entwicklung	the development
die	Erfahrung	the experience
die	Veranstaltung	the event
die	Aussicht	the view, the outlook
die	Landschaft	the landscape
der	Rentner	the pensioner
die	Ermдяigung	the reduction
das	Kontoguthaben	the account balance
die	Betriebskantine	the canteen
die	Folge	the consequence
der	Stromausfall	the power failure
die	Skihьtte	the ski lodge
die	Beziehung beginnen	start the relationship
der	Seitensprung	the fling, the affair
der	Vokalwechsel	the vowel change
der	Verbstamm	the verb root
der	Infinitiv	the infinitive
das	Gasthausr	the inn
die	Schublade	the drawer
der	Stecker	the plug
die	Steckdose	the outlet
das	Inhaltsverzeichnis	the table of contents
die	Lцsung	the solution
der	Aufzug	the elevator
die	Verstдrkung	emphasis
die	Tatsache	fact
die	Aufforderung	request, demaind
Beruhigung	reassurance
das	Betriebsklima	work climate
der	Kader	cadre
die	Gleitzeit	flexitime
die	Entscheidungskraft	decisiveness
der	Abteilungsleiter	head of department
der	Vorsatz	intention
die	Zutat	the ingredient
das	Formulare	the form
das	Gebдude	the building
die	Handlung	the action
die	Festplatte lцschen	delete the hard drive
den Strom abstellen	turn off the power
die	Stadtwerke	the municipal works
der	Installateure	the installer
die	Badrenovierung	the bathroom renovation
die	Firmenleitung	the companyТs management
die	Gehaltskьrzung	the pay cut
der	Schreiner	the carpenter
die	Form	the shape, the form
das	Ersatzteile	the spare part
der	Rechnungsbetrag	the invoiced amount
der	Buchungsfehler	the accounting error
das	Kunstwerk	the work of art
der	Firmensitz	the companys address
der	Steuersatz	the tax rate
die	Zahnbehandlung	the dental treatment
die	Kosten ьbernehmen	bear the expenses, take over the costs
die	Auswahl haben	have an option
der	Kiefer	the pine
die	Kosten erstatten	reimburse the costs
die	Selbstbeteiligung	the percentage excess
der	Tarife	the rate, the charge
die	Prдmie	the insurance rate
die	Selbstauskunft	the self-disclosure
die	Gesellschaft	society
die	Beteiligung, en	the participation
die	Erstellung	the creation
der	Schutz	the protection
das	Nester	the nest
das	Gerдusche	the sound
der	Hustenanfall	the cough attack
das	Spielzeug	the toy
der	Saft	the juice
die	Lebenshaltungskosten	living expenses
das	Gewicht	the weight
das	Gepдck	the luggage
der	Hafen	the port
die	Maяnahme	the measure
die	Rechnung	bill
die	Schwangerschaft	the pregnancy
die	Sitzung	the session
der	Gelдndewagen	the SUV
das	Gebirge	the mountains
das	Grundstьcke	the property
die	Heimat	the home, the homeland
die	Ersatzform	the replacement form
die	Konferenz	the conference
die	Krise	the crisis
die	ƒnderung	changes
das	Bauteile	the device
die	Werkstatt	the workshop
