fährt ab	fuhr ab	ist abgefahren	abfahren	-
fliegt ab	flog ab	ist abgeflogen	abfliegen	-
gibt ab	gab ab	hat abgegeben	abgeben	-
holt ab	holte ab	hat abgeholt	abholen 	-
gibt acht	gab acht	hat achtgegeben	achtgeben	-
ändert sich	änderte sich	hat sich geändert	ändern (sich)	-
fängt an	fing an	hat angefangen	anfangen	-
kommt an	kam an	ist angekommen	ankommen	-
macht an	machte an	hat angemacht	anmachen	-
meldet an	meldete an	hat angemeldet	anmelden (sich)	-
ruft an	rief an	hat angerufen	anrufen	-
antwortet	antwortete	hat geantwortet	antworten	-
zieht an	zog an	hat angezogen	anziehen (sich)	-
arbeitet	arbeitete	hat gearbeitet	arbeiten	-
ärgert	ärgerte	hat geärgert	ärgern (sich)	-
hört auf	hörte auf	hat aufgehört	aufhören	-
macht auf	machte auf	hat aufgemacht	aufmachen	-
passt auf	passte auf	hat aufgepasst	aufpassen	-
räumt auf	räumte auf	hat aufgeräumt	aufräumen	-
schreibt auf	schrieb auf	hat aufgeschrieben	aufschreiben	-
steht auf	stand auf	ist aufgestanden	aufstehen	-
füllt aus	füllte aus	hat ausgefüllt	ausfüllen	-
gibt aus	gab aus	hat ausgegeben	ausgeben	-
packt aus	packte aus	hat ausgepackt	auspacken	-
sieht aus	sah aus	hat ausgesehen	aussehen	-
steigt aus	stieg aus	ist ausgestiegen	aussteigen	-
zieht sich aus	zog sich aus	hat sich ausgezogen	ausziehen sich	-
zieht aus	zog aus	ist ausgezogen	ausziehen 	-
badet	badete	hat gebadet	baden	-
bedeutet	bedeutete	hat bedeutet	bedeuten	-
beeilt	beeilte	hat beeilt	beeilen (sich)	-
beginnt	begann	hat begonnen	beginnen	-
behält	behielt	hat behalten	behalten	-
bekommt	bekam	hat bekommen	bekommen	-
benutzt	benutzte	hat benutzt	benutzen	-
beschwert	beschwerte	hat beschwert	beschweren (sich)	-
besichtig	besichtigte 	hat besichtigt	besichtigen	-
besteht	bestand	hat bestanden	bestehen	-
bestellt	bestellte	hat bestellt	bestellen	-
besucht	besuchte	hat besucht	besuchen	-
bezahlt	bezahlte	hat bezahlt	bezahlen	-
bittet	bat	hat gebeten	bitten	-
bleibt	blieb	ist geblieben	bleiben	-
bloggt	bloggte	hat gebloggt	bloggen	-
bluten	blutete	hat geblutet	bluten	-
braucht 	brauchte	hat gebraucht	brauchen	-
bremst	bremste	hat gebremst	bremsen	-
bringt	brachte	hat gebracht	bringen	-
bucht	buchte	hat gebucht	buchen	-
buchstabiert	buchstabierte	hat buchstabiert	buchstabieren	-
dankt	dankte	hat gedankt	danken	-
dauert	dauerte	hat gedauert	dauern	-
denkt 	dachte	hat gedacht	denken	-
diskutiert	diskutierte	hat diskutiert	diskutieren	-
druckt	druckte	hat gedruckt	drucken	-
duscht	duschte	hat geduscht	duschen (sich)	-
kauft ein	kaufte ein	hat eingekauft	einkaufen	-
lädt ein	lud ein	hat eingeladen	einladen	-
steigt ein	stieg ein	ist eingestiegen	einsteigen	-
zieht ein	zog ein	ist eingezogen	einziehen	-
endet	endete	hat geendet	enden	-
entschuldigt	entschuldigte	hat entschuldigt	entschuldigen	-
